DetectionTimeStart_ShipLocal,DetectionTimeStart_UTC,DetectionTimeEnd_UTC,Latitude,Longitude
11/02/2017 12:46:07,11/02/2017 22:46:07,11/02/2017 22:46:32,23.90613333,-174.0197
11/02/2017 12:46:50,11/02/2017 22:46:50,11/02/2017 22:47:05,23.90574167,-174.0178417
11/02/2017 12:47:42,11/02/2017 22:47:42,11/02/2017 22:47:53,23.90518333,-174.0155517
11/02/2017 12:48:35,11/02/2017 22:48:35,11/02/2017 22:48:46,23.90464333,-174.0132533
11/02/2017 12:49:47,11/02/2017 22:49:47,11/02/2017 22:50:17,23.90387167,-174.0100683
11/02/2017 12:49:57,11/02/2017 22:49:57,11/02/2017 22:50:08,23.903755,-174.00959
11/02/2017 12:50:50,11/02/2017 22:50:50,11/02/2017 22:51:10,23.90319,-174.0073017
11/02/2017 12:51:17,11/02/2017 22:51:17,11/02/2017 22:51:28,23.90285833,-174.0059217
11/02/2017 12:52:24,11/02/2017 22:52:24,11/02/2017 22:52:40,23.90218333,-174.003145
11/02/2017 12:52:40,11/02/2017 22:52:40,11/02/2017 22:52:56,23.90204667,-174.00265
11/02/2017 12:52:50,11/02/2017 22:52:50,11/02/2017 22:53:04,23.90193333,-174.0022083
11/02/2017 12:53:17,11/02/2017 22:53:17,11/02/2017 22:53:33,23.90158833,-174.0007433
11/02/2017 12:54:36,11/02/2017 22:54:36,11/02/2017 22:54:58,23.90073833,-173.9972817
11/02/2017 12:54:41,11/02/2017 22:54:41,11/02/2017 22:55:11,23.90060667,-173.99677
11/02/2017 12:54:42,11/02/2017 22:54:42,11/02/2017 22:54:54,23.90060667,-173.99677
11/02/2017 12:56:43,11/02/2017 22:56:43,11/02/2017 22:56:58,23.899275,-173.991315
11/02/2017 12:58:15,11/02/2017 22:58:15,11/02/2017 22:58:28,23.898195,-173.986935
11/02/2017 12:58:45,11/02/2017 22:58:45,11/02/2017 22:59:01,23.89783833,-173.98548
11/02/2017 12:59:47,11/02/2017 22:59:47,11/02/2017 23:00:08,23.89713667,-173.9825883
11/02/2017 13:00:12,11/02/2017 23:00:12,11/02/2017 23:00:30,23.896875,-173.9815833
11/02/2017 13:01:57,11/02/2017 23:01:57,11/02/2017 23:02:15,23.89570167,-173.9766467
11/02/2017 13:02:22,11/02/2017 23:02:22,11/02/2017 23:02:38,23.89546833,-173.9757217
11/02/2017 13:02:50,11/02/2017 23:02:50,11/02/2017 23:03:08,23.89510667,-173.974235
11/02/2017 13:03:16,11/02/2017 23:03:16,11/02/2017 23:03:28,23.89487167,-173.97325
11/02/2017 13:03:19,11/02/2017 23:03:19,11/02/2017 23:03:35,23.89487167,-173.97325
11/02/2017 13:04:42,11/02/2017 23:04:42,11/02/2017 23:05:02,23.89391667,-173.9692217
11/02/2017 13:05:16,11/02/2017 23:05:16,11/02/2017 23:05:35,23.89355833,-173.9677717
11/02/2017 13:05:46,11/02/2017 23:05:46,11/02/2017 23:06:07,23.89320333,-173.9663183
11/02/2017 13:06:16,11/02/2017 23:06:16,11/02/2017 23:06:32,23.89284,-173.9648067
11/02/2017 13:06:27,11/02/2017 23:06:27,11/02/2017 23:06:57,23.89271333,-173.96429
11/02/2017 13:06:55,11/02/2017 23:06:55,11/02/2017 23:07:11,23.89235667,-173.9628267
11/02/2017 13:07:23,11/02/2017 23:07:23,11/02/2017 23:07:47,23.89199333,-173.961315
11/02/2017 13:07:57,11/02/2017 23:07:57,11/02/2017 23:08:16,23.89163167,-173.95981
11/02/2017 13:08:31,11/02/2017 23:08:31,11/02/2017 23:08:46,23.89126167,-173.958305
11/02/2017 13:09:04,11/02/2017 23:09:04,11/02/2017 23:09:26,23.89088667,-173.9568067
11/02/2017 13:09:35,11/02/2017 23:09:35,11/02/2017 23:09:53,23.89053333,-173.9553417
11/02/2017 13:09:47,11/02/2017 23:09:47,11/02/2017 23:09:59,23.89041167,-173.9548683
11/02/2017 13:09:55,11/02/2017 23:09:55,11/02/2017 23:10:14,23.890285,-173.9543483
